population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
sun_exposed,sun_exposedD,sun_exposedD9,3B,no,4.25,1.55,25.4,0,3,2,11,34,211,0.1144
sun_exposed,sun_exposedE,sun_exposedE1,3B,no,4.55,1.26,24.6,0,1,1,20,62,85,0.3051
sun_exposed,sun_exposedE,sun_exposedE1,3B,no,4.55,1.26,24.6,0,1,2,28,71,113,0.2813
sun_exposed,sun_exposedE,sun_exposedE2,3B,no,4.25,1.43,23.1,0,3,1,22,42,52,0.3028
sun_exposed,sun_exposedE,sun_exposedE2,3B,no,4.25,1.43,23.1,0,3,2,20,40,72,0.2223
sun_exposed,sun_exposedE,sun_exposedE3,3B,no,3.47,0.98,22.5,0,2,1,19,41,80,0.182
sun_exposed,sun_exposedE,sun_exposedE3,3B,no,3.47,0.98,22.5,0,2,2,18,43,70,0.192
sun_exposed,sun_exposedE,sun_exposedE4,3B,no,3.73,1.04,23.9,0,1,1,20,52,100,0.3048
sun_exposed,sun_exposedE,sun_exposedE4,3B,no,3.73,1.04,23.9,0,1,2,30,59,113,0.1016
sun_exposed,sun_exposedE,sun_exposedE5,3B,no,3.19,0.92,23.1,0,3,1,21,56,124,0.00280000000000002
